nx,ny,lat,lon,sand,silt,clay,slope,elev,MAT,MAP,pH,tot_OC,tot_N,s_type2_Acrisol,s_type2_Alisol,s_type2_Andosols,s_type2_Arenosol,s_type2_Cambisol,s_type2_Ferralsol,s_type2_Fluvisols,s_type2_Gleysol,s_type2_Lixisol,s_type2_Luvisol,s_type2_Nitisols,s_type2_Plinthosol,s_type2_Podzol,s_type2_Regosol,s_type2_Umbrisol
242,165,-7.2500,-58.7500,0.4579,0.0376,0.1005,0.4090,49.2356,26.7583,2429.0000,3.8727,1.1843,0.0803,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
226,166,-6.7500,-66.7500,0.5151,0.1713,0.3136,0.8374,68.0583,27.0667,1938.5555,4.1230,0.7339,0.0718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
227,166,-6.7500,-66.2500,0.1872,0.3300,0.4828,3.3583,422.0956,24.8639,2143.1389,3.6300,0.7147,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
228,166,-6.7500,-65.7500,0.2708,0.3300,0.3992,2.3619,244.3719,26.5139,2089.1943,3.8200,0.6707,0.0611,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
229,166,-6.7500,-65.2500,0.2158,0.3300,0.4542,3.5813,319.7892,26.1556,2201.3333,3.6950,0.7070,0.0653,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230,166,-6.7500,-64.7500,0.2620,0.3300,0.4080,1.1413,100.2111,27.2917,2131.2778,3.8000,0.6261,0.0560,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
231,166,-6.7500,-64.2500,0.3258,0.3300,0.3442,0.9280,216.1822,26.0722,2155.5278,3.9450,0.6150,0.0548,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
232,166,-6.7500,-63.7500,0.3500,0.3300,0.3200,0.8307,292.6497,25.9528,1905.0834,4.0000,0.5867,0.0738,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
233,166,-6.7500,-63.2500,0.3808,0.3038,0.3154,0.5873,301.1180,25.9250,1772.4722,3.9870,0.5807,0.0778,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
234,166,-6.7500,-62.7500,0.7259,0.1019,0.1422,0.9083,317.8714,25.6639,1816.9166,4.6309,0.5786,0.0792,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
235,166,-6.7500,-62.2500,0.8300,0.0476,0.1224,1.1034,339.3969,26.1639,1711.2500,4.8340,0.6030,0.0779,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
236,166,-6.7500,-61.7500,0.3570,0.3074,0.3356,0.6574,178.4536,26.5417,1538.6945,3.8610,0.6412,0.0694,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
